Rank,Team,Confrence,Win_Loss,Adjusted_Efficiency_Margin,Adjusted_Offensive_Efficency,Adjusted_Defensive_Efficency,Adjusted_tempo,Luck,Strength_of_Schedule_Rating,Adverage_Adjusted_Offensive_Efficency_of_Opponents,Adverage_Adjusted_Defensive_Efficency_of_Opponents,Non_Confrence_Strength_of_Schedule_Rating
150,UC Davis,BW,13-9,+1.21,105.7,104.5,70.6,-.030,-2.38,102.3,104.7,-0.22
151,Massachusetts,A10,13-8,+1.10,103.3,102.2,71.2,+.090,-0.09,104.2,104.3,-0.84
152,Ball St.,MAC,15-7,+1.07,107.2,106.1,67.0,+.051,-2.79,104.5,107.3,-4.09
153,UNC Wilmington,CAA,17-6,+1.02,102.3,101.3,64.5,+.156,-3.51,103.0,106.5,+3.96
154,Long Beach St.,BW,12-10,+0.98,104.5,103.6,73.4,+.004,+0.52,103.9,103.4,+6.02
155,UC Riverside,BW,15-7,+0.94,106.1,105.2,66.8,+.142,-0.22,104.0,104.2,+4.24
156,Notre Dame,ACC,10-12,+0.87,110.8,110.0,63.9,-.019,+1.00,105.7,104.7,-2.14
157,Air Force,MWC,12-10,+0.78,105.8,105.0,62.9,-.016,-2.34,104.4,106.7,-10.86
158,Florida St.,ACC,7-15,+0.73,106.8,106.0,69.0,-.044,+5.98,108.2,102.2,+3.38
159,Harvard,Ivy,12-9,+0.66,100.6,100.0,65.6,-.021,-0.82,104.1,105.0,-1.54
160,Chattanooga,SC,12-11,+0.58,110.9,110.3,66.9,-.087,-0.95,104.2,105.1,+2.25
161,Ohio,MAC,11-11,+0.58,109.8,109.2,67.8,-.056,-0.60,106.0,106.6,+0.41
162,Fresno St.,MWC,7-13,+0.45,100.3,99.8,63.1,-.047,+5.31,108.0,102.7,+2.24
163,Rice,CUSA,15-6,+0.34,108.2,107.9,69.9,+.155,-1.10,103.3,104.4,-6.00
164,Longwood,BSth,15-8,+0.17,103.3,103.1,66.0,-.006,-6.68,102.1,108.8,-6.57
165,Florida Gulf Coast,ASun,14-9,+0.11,105.1,105.0,65.8,+.084,-1.16,104.2,105.3,+1.44
166,Wyoming,MWC,6-14,+0.06,108.2,108.1,65.2,-.109,+4.42,106.6,102.2,-0.46
167,St. Bonaventure,A10,11-11,+0.01,102.4,102.3,65.0,-.007,-0.78,104.2,105.0,-2.39
168,Boston College,ACC,11-12,-0.17,100.9,101.1,66.3,+.087,+3.66,108.2,104.5,-3.72
169,Portland,WCC,11-13,-0.25,109.1,109.3,69.4,-.026,+4.17,107.2,103.0,+0.03
170,Murray St.,MVC,12-10,-0.26,106.2,106.4,66.7,+.037,-0.21,104.1,104.3,+0.70
171,UMass Lowell,AE,17-6,-0.26,104.9,105.2,69.1,+.016,-8.97,99.0,108.0,-10.30
172,Cleveland St.,Horz,14-9,-0.28,104.8,105.1,64.0,+.017,-4.30,103.2,107.5,+0.71
173,Appalachian St.,SB,13-10,-0.30,101.3,101.6,65.4,-.007,-1.03,104.3,105.4,-0.90
174,Western Kentucky,CUSA,11-11,-0.32,105.2,105.5,66.9,-.015,+0.46,105.2,104.7,-3.77
175,Gardner Webb,BSth,11-11,-0.37,99.8,100.2,65.4,-.111,-2.51,104.5,107.0,+2.26
176,UTEP,CUSA,11-10,-0.39,96.3,96.6,66.2,+.007,+0.48,105.6,105.1,-2.55
177,South Alabama,SB,9-13,-0.39,103.3,103.7,66.2,-.116,+1.31,104.6,103.3,+5.84
178,Northern Iowa,MVC,12-10,-0.45,102.8,103.2,67.5,-.020,-2.55,103.5,106.0,-1.73
179,Old Dominion,SB,13-9,-0.52,103.4,103.9,64.7,+.040,-1.47,104.0,105.5,-1.07
180,SMU,Amer,8-14,-0.52,102.6,103.1,69.2,-.036,+4.77,107.0,102.2,+3.46
181,UNC Asheville,BSth,17-6,-0.71,103.0,103.7,68.0,+.182,-3.54,102.6,106.1,-0.44
182,George Washington,A10,11-10,-0.80,109.3,110.1,68.9,-.032,-1.69,103.1,104.8,-5.03
183,Buffalo,MAC,10-12,-0.88,104.2,105.1,72.9,-.041,+1.84,106.4,104.5,+5.84
184,Stetson,ASun,11-10,-1.14,110.7,111.8,63.5,+.031,+2.28,106.8,104.5,+6.84
185,Pepperdine,WCC,7-16,-1.21,104.2,105.4,72.5,-.162,+4.71,108.1,103.4,+3.08
186,Eastern Kentucky,ASun,14-9,-1.22,104.6,105.9,70.0,+.088,-0.47,103.8,104.3,+2.85
187,Rider,MAAC,11-9,-1.22,106.6,107.9,64.9,+.001,-3.13,101.8,104.9,-0.97
188,Norfolk St.,MEAC,15-7,-1.29,108.6,109.9,65.0,+.117,-5.31,101.8,107.1,+1.31
189,Tarleton St.,WAC,12-10,-1.32,103.3,104.7,67.2,+.064,+3.32,105.9,102.6,+6.47
190,Montana,BSky,10-12,-1.35,106.9,108.2,63.0,-.057,-0.83,104.9,105.8,+2.48
191,Lipscomb,ASun,13-10,-1.37,103.4,104.8,69.0,-.040,-3.87,104.1,108.0,-3.47
192,Saint Joseph's,A10,10-11,-1.37,104.1,105.4,69.2,-.010,-1.10,104.3,105.4,-4.26
193,South Dakota St.,Sum,12-11,-1.38,101.7,103.1,66.7,+.078,+1.54,106.1,104.6,+8.61
194,Minnesota,B10,7-13,-1.41,100.5,101.9,64.7,+.022,+6.33,107.4,101.0,-5.86
195,Sacramento St.,BSky,12-10,-1.78,104.8,106.6,62.2,+.029,-0.70,104.7,105.4,+3.14
196,New Mexico St.,WAC,7-14,-1.81,105.4,107.2,68.8,-.134,+4.46,105.9,101.5,+5.03
197,Oregon St.,P12,9-13,-1.88,100.7,102.5,63.6,+.001,+4.79,105.9,101.2,-5.38
198,Georgia Tech,ACC,8-13,-1.97,101.7,103.7,66.6,-.027,+6.16,108.7,102.5,-0.92
